"chr" "pos" "strand" "Name" "Islands_Name" "Relation_to_Island" "UCSC_RefGene_Name" "UCSC_RefGene_Accession" "UCSC_RefGene_Group" "Regulatory_Feature_Name" "Regulatory_Feature_Group" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"cg19908139" "chr1" 38061735 "+" "cg19908139" "chr1:38061428-38061740" "Island" "GNL2" "NM_013285" "TSS200" "1:38060930-38062183" "Unclassified" -1.6194407832249 -10.8186008130705 -4.00310473923195 6.901217744033e-05 0.00260348041096914 1.38967924684627
"cg14810501" "chr22" 50609143 "+" "cg14810501" "chr22:50609181-50609627" "N_Shore" "PANX2;PANX2;PANX2" "NM_052839;NM_001160300;NR_027691" "TSS200;TSS200;TSS200" "22:50608286-50609631" "Unclassified_Cell_type_specific" -1.26674489381818 -7.99124261725066 -3.98259368489056 7.51079375027574e-05 0.00276628026335051 1.31240160174801
"cg26754826" "chr19" 8657410 "-" "cg26754826" "chr19:8656788-8657917" "Island" "ADAMTS10" "NM_030957" "Body" "19:8656682-8658028" "Promoter_Associated_Cell_type_specific" -1.48471141292814 -8.60779999637212 -3.97981031068867 7.59734287649711e-05 0.00278939288085749 1.30194415154085
"cg04809988" "chr22" 41940355 "+" "cg04809988" "chr22:41939917-41940713" "Island" "POLR3H;POLR3H;POLR3H;POLR3H;POLR3H" "NM_001018050;NM_138338;NM_001018052;NM_001018052;NM_001018050" "5'UTR;5'UTR;1stExon;5'UTR;1stExon" "22:41939794-41940997" "Promoter_Associated" -0.956406710229413 -5.45385065681704 -3.97770534824404 7.66342346550455e-05 0.00280743522080716 1.29404020883553
"cg27055842" "chr21" 33765028 "+" "cg27055842" "chr21:33765013-33765300" "Island" "C21orf119;URB1" "NR_026845;NM_014825" "TSS1500;Body" "21:33764663-33766068" "Promoter_Associated" -1.1508520064578 -8.18099338691206 -3.97724164246883 7.67805349089594e-05 0.00281105499429477 1.29229957271521
"cg01399477" "chr16" 84681940 "-" "cg01399477" "chr16:84681760-84682732" "Island" "KLHL36" "NM_024731" "TSS200" "16:84681494-84683460" "Promoter_Associated_Cell_type_specific" -1.4844755777336 -10.6654817562973 -3.97700051505376 7.68567157170715e-05 0.00281235305071106 1.29139451700129
"cg17416271" "chr17" 1302867 "+" "cg17416271" "chr17:1302606-1303889" "Island" "YWHAE;YWHAE" "NM_006761;NR_024058" "Body;Body" "17:1302285-1303994" "Promoter_Associated" -1.64262171726615 -10.455781081764 -3.89068343867638 0.000109248519634402 0.00361197469563362 0.97078054883413
"cg26552784" "chr18" 74203038 "-" "cg26552784" "chr18:74202750-74203076" "Island" "" "" "" "18:74202857-74203130" "Promoter_Associated" -1.43602686237096 -12.0974666991597 -3.88585873940783 0.000111395532285163 0.00366511912001179 0.953058438240918
"cg13788090" "chr20" 44519942 "+" "cg13788090" "chr20:44518897-44520361" "Island" "CTSA;CTSA;CTSA;NEURL2;CTSA;CTSA;CTSA" "NM_001127695;NM_001167594;NM_001127695;NM_080749;NM_001167594;NM_000308;NM_000308" "5'UTR;5'UTR;1stExon;TSS200;1stExon;5'UTR;1stExon" "20:44519691-44520208" "Promoter_Associated" -1.38753298067579 -10.4156576755295 -3.8801470314431 0.000113988827247741 0.00372699757142104 0.932105376434541
"cg24621607" "chr15" 43803201 "-" "cg24621607" "chr15:43802881-43803407" "Island" "TP53BP1" "NM_005657" "TSS1500" "15:43801332-43804151" "Promoter_Associated" -1.17685604272785 -8.95569694869616 -3.87020722298827 0.000118638382299503 0.00383699920796972 0.895712144963527
"cg13511115" "chr14" 96000878 "+" "cg13511115" "chr14:96000676-96001865" "Island" "GLRX5;SNHG10;SCARNA13;SNHG10" "NM_016417;NR_003138;NR_003002;NR_001459" "TSS1500;Body;TSS1500;Body" "14:96000780-96001554" "Promoter_Associated" -1.42627757561596 -8.80658601852001 -3.85263703200563 0.000127298599637449 0.00404245713779397 0.831600029111758
"cg12572987" "chr11" 111957418 "+" "cg12572987" "chr11:111957352-111957681" "Island" "SDHD;TIMM8B;TIMM8B" "NM_003002;NM_012459;NR_028383" "TSS200;1stExon;Body" "11:111956733-111957933" "NonGene_Associated" -1.37109698395557 -8.98000697643828 -3.85261120022074 0.000127311760681842 0.00404245713779397 0.831505976877303
"cg26847193" "chr17" 17495191 "+" "cg26847193" "chr17:17494598-17495505" "Island" "PEMT" "NM_148172" "TSS200" "17:17494097-17496003" "Promoter_Associated" -1.6120254828887 -9.75625737495832 -3.85173630333398 0.000127758271787954 0.00405178418491718 0.828320877897545
"cg00089372" "chr1" 156469964 "+" "cg00089372" "chr1:156469617-156471060" "Island" "MEF2D" "NM_005920" "5'UTR" "1:156469665-156471662" "Promoter_Associated" -1.54845747486763 -10.8290164607976 -3.85005731267132 0.000128619304830614 0.00407165243886771 0.822210382861771
"cg09921707" "chr16" 30786971 "-" "cg09921707" "chr16:30786618-30787464" "Island" "" "" "" "16:30786324-30787715" "Promoter_Associated" -0.781907598324048 -7.76315476041826 -3.84171847682457 0.000132977502463234 0.00417148451908685 0.791899963707452
"cg19528521" "chr7" 102036881 "+" "cg19528521" "chr7:102036470-102037017" "Island" "PRKRIP1" "NM_024653" "1stExon" "7:102036041-102037243" "Promoter_Associated" -1.36699463500407 -11.347486243966 -3.8404071106936 0.000133675432543606 0.0041879881279463 0.787139074738158
"cg06942314" "chr18" 29523271 "-" "cg06942314" "chr18:29522401-29523577" "Island" "KIAA1012" "NM_014939" "TSS200" "18:29522116-29523924" "Promoter_Associated" -1.67084971721067 -10.4195434071884 -3.83689916460637 0.000135559456775679 0.00423006148548256 0.774411201920191
"cg24371438" "chr3" 183967690 "-" "cg24371438" "chr3:183967304-183967801" "Island" "ALG3;ALG3;ECE2;ECE2;ALG3;ALG3" "NR_024534;NM_005787;NM_014693;NM_032331;NR_024533;NM_001006941" "TSS1500;TSS1500;Body;Body;TSS1500;TSS1500" "3:183966963-183968404" "Promoter_Associated" -1.04599513181526 -7.91140599242889 -3.83602883877061 0.000136030751799298 0.00424140026623162 0.771255126526281
"cg01152986" "chr16" 58549298 "+" "cg01152986" "chr16:58549027-58550016" "Island" "SETD6;SETD6" "NM_001160305;NM_024860" "TSS200;TSS200" "" "" -1.36739469987771 -10.6232245544249 -3.82155389621026 0.000144099574259465 0.00441998881415803 0.71886505329118
"cg17969377" "chr1" 235530852 "-" "cg17969377" "" "OpenSea" "TBCE;TBCE;TBCE" "NM_003193;NM_001079515;NM_001079515" "5'UTR;1stExon;5'UTR" "1:235530238-235531227" "Promoter_Associated" -1.53754986350963 -10.9022320427538 -3.8107170511558 0.000150433801746156 0.00455094103233719 0.679766873198383
"cg17515456" "chr6" 30312866 "-" "cg17515456" "chr6:30312837-30313419" "Island" "RPP21" "NM_024839" "TSS200" "6:30312076-30313675" "Promoter_Associated" -0.731817332938734 -5.97907599330447 -3.80749289503655 0.000152368474985376 0.00459045214795577 0.66815501173415
"cg03606328" "chr1" 62902271 "-" "cg03606328" "chr1:62901651-62903667" "Island" "USP1;USP1;USP1" "NM_001017416;NM_003368;NM_001017415" "5'UTR;TSS200;5'UTR" "1:62901893-62902751" "Promoter_Associated" -1.3950169113784 -8.93477037305562 -3.8041951276452 0.000154371584101964 0.00463720080289609 0.656287788846305
"cg09385088" "chr16" 5121973 "-" "cg09385088" "chr16:5121749-5122192" "Island" "ALG1" "NM_019109" "1stExon" "16:5121137-5122511" "Unclassified" -1.41973359881051 -9.9472290198279 -3.8009558135202 0.000156363350534279 0.00468042884820976 0.644640515168772
"cg00110982" "chr7" 4815151 "+" "cg00110982" "chr7:4815019-4815542" "Island" "KIAA0415" "NM_014855" "TSS200" "7:4814280-4816062" "Promoter_Associated" -1.40276549213373 -9.90046979118266 -3.79789748857672 0.000158266054619955 0.0047162578544915 0.633652739841274
"cg16016616" "chr1" 212209319 "+" "cg16016616" "chr1:212208837-212209364" "Island" "INTS7;DTL" "NM_015434;NM_016448" "TSS1500;Body" "1:212207885-212209816" "Promoter_Associated" -1.55542866563152 -10.37654866714 -3.79694638628022 0.000158862209802712 0.00472484789133494 0.630237403164989
"cg08567662" "chr2" 176867156 "-" "cg08567662" "chr2:176866693-176867188" "Island" "KIAA1715" "NM_030650" "TSS200" "2:176866908-176867275" "Promoter_Associated" -1.13127130305034 -8.88590562658982 -3.78227015189253 0.00016833405546442 0.00493046473934253 0.577640183753663
"cg12505362" "chr19" 6373156 "-" "cg12505362" "chr19:6372722-6373218" "Island" "ALKBH7" "NM_032306" "Body" "19:6372247-6373856" "Promoter_Associated" -1.2499104473431 -6.49409115142216 -3.77176074299546 0.000175441092333719 0.00507618953281472 0.540096278818019
"cg08293825" "chr19" 39342501 "+" "cg08293825" "chr19:39339923-39343257" "Island" "HNRNPL" "NM_001005335" "5'UTR" "19:39339617-39343574" "Promoter_Associated" -0.983318885409206 -7.71951362754404 -3.76649964831685 0.00017910424257839 0.00515088485737712 0.521339155855078
"cg26328898" "chr5" 10355193 "+" "cg26328898" "chr5:10353400-10354512" "S_Shore" "MARCH6" "NM_005885" "Body" "5:10355185-10355264" "Promoter_Associated" -0.656013253637845 -4.24743366247332 -3.75309784812697 0.000188763821330582 0.00534247667263402 0.473671931887629
"cg12523403" "chr19" 12779890 "+" "cg12523403" "chr19:12779795-12781094" "Island" "MORG1;MORG1;C19orf56;MORG1" "NM_032332;NM_001099737;NM_016145;NR_029375" "TSS1500;5'UTR;Body;Body" "19:12779491-12781003" "Promoter_Associated" -1.17175123637454 -6.88109144057607 -3.75038254481101 0.000190779786699683 0.0053798653346927 0.464034075314393
"cg14155482" "chr1" 151171082 "-" "cg14155482" "chr1:151170847-151171532" "Island" "PIP5K1A;PIP5K1A;PIP5K1A;PIP5K1A;PIP5K1A;PIP5K1A;PIP5K1A;PIP5K1A" "NM_001135637;NM_003557;NM_001135638;NM_001135636;NM_003557;NM_001135637;NM_001135638;NM_001135636" "5'UTR;1stExon;5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR" "1:151170585-151171728" "Promoter_Associated" -1.55522026269155 -10.8425852484498 -3.74478140183927 0.000195002558423718 0.00546509706705724 0.444174209216011
"cg04583011" "chr11" 93394797 "-" "cg04583011" "chr11:93394678-93395273" "Island" "KIAA1731" "NM_033395" "TSS200" "11:93394462-93395873" "Promoter_Associated" -1.2886967570954 -11.3980059216305 -3.74170125474481 0.000197362071395343 0.00551183736367261 0.433265137665003
"cg11350889" "chr5" 34656553 "-" "cg11350889" "chr5:34656123-34657330" "Island" "RAI14;RAI14;RAI14;RAI14;RAI14" "NM_015577;NM_001145522;NM_001145522;NM_001145520;NM_015577" "5'UTR;5'UTR;1stExon;TSS200;1stExon" "5:34655379-34657323" "Promoter_Associated" -1.32802451065408 -8.62412964182299 -3.73787507268845 0.000200330517995966 0.00556748633810685 0.419725812367676
"cg14209987" "chr3" 9932182 "-" "cg14209987" "chr3:9932179-9932739" "Island" "JAGN1" "NM_032492" "TSS200" "3:9931898-9933011" "Promoter_Associated" -1.51335416007086 -10.1805297122289 -3.71914371568622 0.000215479255767859 0.0058576319588815 0.353635073948422
"cg08455454" "chr10" 94352726 "+" "cg08455454" "chr10:94352667-94353159" "Island" "KIF11" "NM_004523" "TSS200" "10:94352318-94353656" "Promoter_Associated" -1.45691816330251 -10.4607195694766 -3.71868540427529 0.00021586308034757 0.00586461617386926 0.352021989970454
"cg00517218" "chr7" 111846502 "+" "cg00517218" "chr7:111845860-111846887" "Island" "DOCK4;ZNF277" "NM_014705;NM_021994" "TSS200;TSS200" "7:111846314-111846960" "Promoter_Associated" -1.31359175512795 -9.69766549461368 -3.711477160699 0.000221985073049855 0.00598582532894344 0.326676809167057
"cg19474239" "chr13" 21348215 "+" "cg19474239" "chr13:21347443-21348257" "Island" "N6AMT2" "NM_174928" "TSS200" "13:21347134-21348378" "Promoter_Associated" -1.59000614324471 -8.71228929997032 -3.70152027149705 0.000230710520813625 0.00614653949461624 0.291744740315309
"cg26896155" "chr4" 91048567 "+" "cg26896155" "chr4:91048411-91049682" "Island" "FAM190A" "NM_001145065" "TSS200" "4:91048348-91048729" "Unclassified_Cell_type_specific" -1.40099273485762 -8.28430970692319 -3.69917182725715 0.000232815013257513 0.00618961132961072 0.28351876484384
"cg18575770" "chr12" 115121307 "-" "cg18575770" "chr12:115120774-115122945" "Island" "TBX3;TBX3;TBX3;TBX3" "NM_005996;NM_016569;NM_016569;NM_005996" "1stExon;5'UTR;1stExon;5'UTR" "12:115121180-115121334" "Unclassified" 0.726119298880435 -6.28207309329289 3.69125156718294 0.000240046404867925 0.00632209172820633 0.255813205273918
"cg00968038" "chr14" 21151021 "+" "cg00968038" "chr14:21150918-21151224" "Island" "ANG;RNASE4" "NM_001145;NM_002937" "TSS1500;TSS1500" "14:21150842-21151111" "Promoter_Associated" -1.17960900363799 -8.90706938735708 -3.68955366153303 0.000241623878998939 0.00635351798090066 0.249881257554891
"cg05049361" "chr14" 69726536 "-" "cg05049361" "chr14:69726250-69728393" "Island" "GALNTL1;GALNTL1" "NM_020692;NM_001168368" "TSS200;TSS200" "" "" -0.995574528492971 -7.86943650894235 -3.68908448415112 0.000242061493405565 0.00635980118878934 0.24824256222968
"cg21565550" "chr12" 100967522 "-" "cg21565550" "chr12:100967293-100967845" "Island" "GAS2L3;GAS2L3" "NM_174942;NM_174942" "5'UTR;1stExon" "12:100966853-100967949" "Unclassified" -1.25923791910423 -9.33143235082459 -3.6878766367656 0.000243191515926179 0.00638099362727132 0.244024836866482
"cg01007768" "chr16" 66586407 "-" "cg01007768" "chr16:66586268-66586719" "Island" "CKLF;CKLF;CKLF;CKLF;CKLF" "NM_181640;NM_016326;NM_181641;NM_016951;NM_001040138" "TSS200;TSS200;TSS200;TSS200;TSS200" "16:66585126-66587021" "Unclassified" -1.12593536800037 -7.80791363283961 -3.68135584176304 0.000249378303054517 0.00649806052697862 0.221277578449135
"cg02367736" "chr1" 220921670 "+" "cg02367736" "chr1:220921411-220922176" "Island" "MOSC2" "NM_017898" "TSS200" "1:220921532-220921696" "Unclassified_Cell_type_specific" -1.01232040198624 -8.53347849381538 -3.67486373225311 0.000255684600510803 0.00661289435602014 0.198668844541967
"cg17255062" "chr10" 104614001 "+" "cg17255062" "chr10:104614000-104614326" "Island" "C10orf32;C10orf32;C10orf32;C10orf32" "NM_144591;NM_144591;NM_001136200;NM_001136200" "5'UTR;1stExon;1stExon;5'UTR" "10:104613672-104614495" "Promoter_Associated" -1.40435454507807 -10.4948086626728 -3.6704403677331 0.000260066870517564 0.00668938764139718 0.183286486611802
"cg03716233" "chr17" 43128931 "+" "cg03716233" "chr17:43128789-43129038" "Island" "DCAKD;DCAKD;DCAKD" "NM_001128631;NM_024819;NM_001128631" "1stExon;5'UTR;5'UTR" "17:43127998-43129226" "Promoter_Associated" -1.19632636873798 -8.51352929311362 -3.66854319770386 0.000261967956558749 0.00671961674889222 0.176694491939307
"cg27280296" "chr14" 90422339 "-" "cg27280296" "chr14:90422142-90422593" "Island" "TDP1;C14orf143;TDP1" "NM_018319;NM_145231;NM_001008744" "5'UTR;TSS1500;5'UTR" "14:90421778-90422372" "Promoter_Associated" -1.40848186028552 -11.7649907034738 -3.65606634219223 0.00027479957830831 0.00695031053833166 0.133423515685868
"cg17591829" "chr5" 122111354 "-" "cg17591829" "chr5:122110539-122111169" "S_Shore" "SNX2" "NM_003100" "Body" "5:122110065-122111645" "Promoter_Associated" -1.32137484725944 -7.73237403998859 -3.64152157393889 0.000290502562775056 0.00722998548427903 0.0831598713509774
"cg16555142" "chr16" 432566 "-" "cg16555142" "chr16:431189-432810" "Island" "TMEM8A;LOC100134368" "NM_021259;NR_024453" "TSS1500;Body" "16:431064-432980" "Promoter_Associated" -1.36140319381787 -9.59942750419298 -3.63881667023093 0.00029351421765583 0.00727914205686196 0.0738335600050002
"cg00199846" "chr13" 37393246 "+" "cg00199846" "chr13:37393213-37394092" "Island" "RFXAP" "NM_000538" "TSS200" "13:37392887-37393611" "Promoter_Associated" -1.05412518524585 -8.23710879506024 -3.63652040803384 0.000296093863815993 0.00732191179609292 0.0659214496203528
"cg23053782" "chr3" 47844291 "+" "cg23053782" "chr3:47844121-47845155" "Island" "DHX30;DHX30" "NM_014966;NM_138615" "TSS200;TSS200" "3:47843749-47845688" "Promoter_Associated" -1.24277198884309 -9.28502499815039 -3.63639209346512 0.000296238639751627 0.00732434922569585 0.0654794646514647
"cg00509507" "chr19" 56028542 "-" "cg00509507" "chr19:56028236-56028824" "Island" "SSC5D" "NM_001144950" "Body" "19:56028100-56029239" "Unclassified" -1.34460257958423 -9.99513681557367 -3.6086438187196 0.000329155992277116 0.00788963263613064 -0.0297479171388932
"cg22289948" "chr19" 36980602 "+" "cg22289948" "chr19:36980190-36980733" "Island" "ZNF566;ZNF566;ZNF566;ZNF566" "NM_001145343;NM_032838;NM_001145344;NM_001145345" "TSS200;TSS1500;TSS200;TSS200" "19:36979380-36981367" "Promoter_Associated" -1.35633761137671 -10.5007091823682 -3.59652104923046 0.000344587907572583 0.00816925911244899 -0.0711307130888992
"cg20986134" "chr5" 126112439 "-" "cg20986134" "chr5:126112229-126114229" "Island" "LMNB1" "NM_005573" "TSS1500" "" "" -1.3732696028654 -9.84335386515052 -3.59440807049337 0.000347346114531165 0.00821398158647499 -0.0783299381983547
"cg11419456" "chr19" 37157861 "+" "cg11419456" "chr19:37157632-37158119" "Island" "ZNF461" "NM_153257" "TSS200" "19:37157284-37158216" "Promoter_Associated" -1.28753882650692 -10.5247332105063 -3.59295706719051 0.000349252172740382 0.00824304759259702 -0.0832713564512506
"cg15844365" "chr2" 69664815 "-" "cg15844365" "chr2:69664291-69664816" "Island" "NFU1;NFU1;NFU1;NFU1" "NM_001002757;NM_001002756;NM_001002755;NM_015700" "TSS200;TSS200;TSS200;TSS200" "2:69663537-69665399" "Promoter_Associated" -1.35207072736011 -11.3004502022198 -3.58496835569778 0.000359923025315609 0.0084243580865491 -0.11044263311183
"cg05633391" "chr2" 11052558 "-" "cg05633391" "chr2:11051858-11053476" "Island" "KCNF1" "NM_002236" "1stExon" "" "" -1.04197673245145 -8.161256672867 -3.58247803565088 0.000363311419031213 0.00848114880733898 -0.118900817107389
