"chr" "pos" "strand" "Name" "Islands_Name" "Relation_to_Island" "UCSC_RefGene_Name" "UCSC_RefGene_Accession" "UCSC_RefGene_Group" "Regulatory_Feature_Name" "Regulatory_Feature_Group" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"cg07029396" "chr17" 79650519 "+" "cg07029396" "chr17:79650194-79651447" "Island" "HGS;ARL16" "NM_004712;NM_001040025" "TSS1500;Body" "17:79650304-79651446" "Promoter_Associated" 1.22479696020236 -7.50393625106985 3.89900662441629 0.00010563634251318 0.0235499557697476 1.07012640540189
"cg06949234" "chr1" 41327641 "+" "cg06949234" "chr1:41326949-41328285" "Island" "CITED4" "NM_133467" "1stExon" "" "" 0.638963779429973 -6.27849890304705 3.89231247363932 0.000108532469599154 0.0237803192630494 1.04601599141678
"cg02403395" "chr3" 192445500 "+" "cg02403395" "" "OpenSea" "FGF12" "NM_004113" "TSS200" "" "" -1.55440085671387 -9.70604872876955 -3.87993119272417 0.000114087934988276 0.0242358271049532 1.0015265852892
"cg01670875" "chr15" 34394114 "+" "cg01670875" "chr15:34393814-34394264" "Island" "PGBD4;C15orf24" "NM_152595;NM_020154" "TSS200;TSS200" "15:34393489-34394699" "Unclassified" 0.887910036009313 -6.97452843698688 3.87302182200933 0.000117303920121433 0.0243867963550797 0.97675823086016
"cg26031014" "chr3" 112709787 "+" "cg26031014" "chr3:112709666-112710270" "Island" "GTPBP8;GTPBP8" "NM_138485;NM_014170" "TSS200;TSS200" "3:112709442-112710502" "Promoter_Associated" -1.54440117183147 -10.1960249688335 -3.85509941151408 0.000126049923631694 0.0248973519395651 0.912707811691948
"cg18622084" "chr14" 50583305 "+" "cg18622084" "chr14:50582970-50583504" "Island" "C14orf138;C14orf138" "NM_001040662;NM_024558" "TSS200;TSS200" "14:50582768-50583964" "Promoter_Associated" -1.67496529648866 -10.3988221092761 -3.82895518080313 0.00013991903336066 0.0257944380685157 0.819784603593062
"cg20161985" "chr11" 66112762 "-" "cg20161985" "chr11:66112251-66112803" "Island" "BRMS1;BRMS1" "NM_015399;NM_001024957" "TSS200;TSS200" "11:66111871-66113181" "Promoter_Associated" -1.49181862877676 -11.3309735498668 -3.81352559959541 0.000148767425265976 0.0265457595231384 0.765228140255264
"cg25396236" "chr18" 51796014 "-" "cg25396236" "chr18:51795711-51796332" "Island" "POLI" "NM_007195" "1stExon" "18:51795576-51797200" "Promoter_Associated" -1.59321837293217 -10.2403964431035 -3.77655821963028 0.000172162396495017 0.0282994355269897 0.63537639901822
"cg26729197" "chr17" 71161415 "-" "cg26729197" "chr17:71160922-71162350" "Island" "SSTR2;SSTR2" "NM_001050;NM_001050" "1stExon;5'UTR" "" "" -1.57228029879616 -8.76434730650228 -3.76705045151891 0.000178717383055298 0.0286898525662344 0.602175439664073
"cg01154573" "chr7" 140178539 "-" "cg01154573" "chr7:140178289-140179467" "Island" "MKRN1;MKRN1" "NM_001145125;NM_013446" "Body;Body" "" "" 1.22924216304867 -7.91098487955685 3.74584669440874 0.000194192703306556 0.0295780732448672 0.528421443592932
"cg10102256" "chr11" 18034688 "-" "cg10102256" "chr11:18034129-18035268" "Island" "SERGEF" "NM_012139" "TSS200" "11:18034395-18035142" "Promoter_Associated" -1.72124746276755 -11.7896249895832 -3.74449033147385 0.000195224388066781 0.0296066570860592 0.523717136453834
"cg20619067" "chr6" 169284843 "-" "cg20619067" "chr6:169284752-169284955" "Island" "" "" "" "6:169284686-169285353" "Unclassified" -1.5485594275882 -8.98924550611816 -3.72691353525531 0.000209069154596144 0.0304822761898936 0.462902982323717
"cg06171076" "chr6" 26156557 "+" "cg06171076" "chr6:26156449-26157146" "Island" "HIST1H1E" "NM_005321" "TSS200" "6:26156187-26157020" "Promoter_Associated" -1.28367530714257 -8.73420828554575 -3.71672332871293 0.000217513554392836 0.0311090933835854 0.427771551110067
"cg20391652" "chr4" 122745106 "-" "cg20391652" "chr4:122744557-122745267" "Island" "CCNA2" "NM_001237" "TSS200" "4:122743713-122745662" "Promoter_Associated" -1.50288741595602 -10.886181814641 -3.70471353894316 0.000227877653732087 0.0317259705769176 0.386485551847876
"cg03606328" "chr1" 62902271 "-" "cg03606328" "chr1:62901651-62903667" "Island" "USP1;USP1;USP1" "NM_001017416;NM_003368;NM_001017415" "5'UTR;TSS200;5'UTR" "1:62901893-62902751" "Promoter_Associated" -1.48320317180388 -8.93477037305562 -3.69275166918051 0.00023866076543213 0.0323717710091407 0.345491854952557
"cg08463929" "chr6" 153305433 "-" "cg08463929" "chr6:153303408-153304973" "S_Shore" "FBXO5;FBXO5" "NM_012177;NM_001142522" "TSS1500;TSS1500" "6:153303844-153305508" "Promoter_Associated" 1.06486367420931 -4.67418287448661 3.69128765908781 0.000240012978275918 0.0324454477415973 0.340483394016317
"cg15875437" "chr4" 2061507 "+" "cg15875437" "chr4:2059928-2063181" "Island" "NAT8L" "NM_178557" "1stExon" "" "" -1.21853357329546 -8.84312458478089 -3.68388057322852 0.000246965547213315 0.0328044789621836 0.315172583726617
"cg07743799" "chr20" 2821434 "+" "cg07743799" "chr20:2820509-2821911" "Island" "FAM113A;VPS16;VPS16" "NM_022760;NM_080413;NM_022575" "TSS200;1stExon;1stExon" "20:2821243-2821552" "Promoter_Associated" -1.1741443043582 -9.12291220140468 -3.67329318362953 0.000257232551875602 0.033377820078623 0.279079149731746
"cg11540197" "chr5" 176779080 "-" "cg11540197" "chr5:176778572-176779090" "Island" "LMAN2" "NM_006816" "TSS200" "5:176778191-176779355" "Promoter_Associated" 0.711937166190759 -6.21938972191783 3.67314134349543 0.000257382673239159 0.033377820078623 0.278562238148499
"cg19530883" "chr19" 5903870 "-" "cg19530883" "chr19:5903482-5905216" "Island" "NDUFA11;VMAC;NDUFA11" "NM_175614;NM_001017921;NM_175614" "1stExon;TSS1500;5'UTR" "19:5903681-5905078" "Promoter_Associated" -1.5696775618927 -11.8934582469178 -3.6657283685531 0.000264812666753135 0.0337193537096733 0.253351114936345
"cg16401290" "chr5" 79950120 "+" "cg16401290" "chr5:79950003-79950873" "Island" "MSH3;DHFR" "NM_002439;NM_000791" "TSS200;Body" "5:79949800-79951457" "Promoter_Associated" -1.4071707916627 -10.036403141409 -3.64610060114649 0.000285470273196117 0.0348804938673449 0.186834599515123
"cg25824897" "chr17" 73452535 "+" "cg25824897" "chr17:73452534-73452898" "Island" "KIAA0195" "NM_014738" "TSS200" "17:73452168-73453523" "Promoter_Associated" -1.59690106545753 -11.0499838982527 -3.6435410715177 0.000288272983096437 0.0350163643530476 0.178185920594087
"cg05414835" "chr15" 59225898 "+" "cg05414835" "chr15:59225272-59226300" "Island" "SLTM;SLTM" "NM_001013843;NM_024755" "TSS200;TSS200" "15:59225018-59226807" "Promoter_Associated" -1.76920114953583 -10.0932575242667 -3.64040301826477 0.000291744434183956 0.0351510978045178 0.167590373922383
"cg21390276" "chr17" 10600667 "+" "cg21390276" "chr17:10600425-10601199" "Island" "SCO1;C17orf48" "NM_004589;NM_020233" "1stExon;TSS1500" "17:10600476-10601053" "Promoter_Associated" -1.2656487233885 -8.62655978400998 -3.62771134569365 0.000306188786524052 0.0358981659555377 0.124826880325937
"cg01302902" "chr12" 107349539 "-" "cg01302902" "chr12:107349152-107350089" "Island" "C12orf23" "NM_152261" "TSS200" "12:107349266-107349985" "Promoter_Associated" -1.46756044207471 -10.4259509597582 -3.62184954651609 0.000313084227564353 0.0362709084225032 0.105124555372667
"cg10724442" "chr19" 40971809 "-" "cg10724442" "chr19:40971476-40973393" "Island" "SPTBN4;BLVRB" "NM_020971;NM_000713" "TSS1500;TSS200" "19:40971502-40972381" "Promoter_Associated" -1.4282230265423 -11.462314919724 -3.62169164175461 0.000313271976172215 0.0362709084225032 0.104594239419066
"cg21239184" "chr9" 104295632 "-" "cg21239184" "chr9:104295917-104296232" "N_Shore" "RNF20" "NM_019592" "TSS1500" "9:104295389-104296422" "Promoter_Associated" 0.956336855268184 -4.59612087574209 3.61245980698319 0.000324434061782794 0.0367981763264852 0.0736282139646711
"cg26973488" "chr16" 67450606 "-" "cg26973488" "chr16:67449936-67450472" "S_Shore" "ZDHHC1" "NM_013304" "TSS1500" "16:67449803-67450793" "Unclassified" 0.522612100776518 -5.37721087028324 3.60005780507607 0.000340017049068043 0.0374453488909273 0.0321483280187627
"cg24884190" "chr1" 153606480 "+" "cg24884190" "chr1:153606177-153606974" "Island" "S100A13;C1orf77;S100A13" "NM_001024210;NM_015607;NM_001024210" "1stExon;TSS200;5'UTR" "1:153605976-153607238" "NonGene_Associated" 0.752149222316874 -6.41191503871236 3.59053821690252 0.000352451417249665 0.0380405536083716 0.000402147752969206
"cg18140645" "chr5" 64778147 "+" "cg18140645" "" "OpenSea" "ADAMTS6" "NM_197941" "TSS1500" "5:64777574-64778187" "Promoter_Associated" 1.29479873742072 -5.69166155949203 3.54953346029486 0.000411043288173223 0.0403958251230256 -0.135416257358278
"cg07709080" "chr15" 69113453 "-" "cg07709080" "chr15:69109708-69114001" "Island" "ANP32A" "NM_006305" "TSS200" "15:69112725-69113505" "Promoter_Associated" 0.862077444094294 -7.00917496714741 3.54339675103995 0.000420559047237201 0.0408827745379695 -0.155613339370828
"cg06491725" "chr19" 47634041 "-" "cg06491725" "chr19:47633911-47634364" "Island" "SAE1;SAE1;SAE1;SAE1" "NM_001145713;NM_005500;NR_027280;NM_001145714" "TSS200;TSS200;TSS200;TSS200" "19:47633692-47634937" "Unclassified" 0.880969210077837 -7.25202011951443 3.53845004774372 0.000428379194536212 0.0412196091058459 -0.171869367842039
"cg02701443" "chr2" 190648932 "+" "cg02701443" "chr2:190648566-190649484" "Island" "PMS1;PMS1;PMS1;PMS1;ORMDL1;ORMDL1;PMS1;PMS1" "NM_001128144;NM_001128144;NM_001128143;NM_000534;NM_001128150;NM_016467;NM_000534;NM_001128143" "5'UTR;1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon;5'UTR" "2:190648043-190649816" "Promoter_Associated" -1.3193597617717 -8.73697301791998 -3.53760097022052 0.000429735089090101 0.0412633136214485 -0.174657435113362
"cg00686339" "chr16" 699775 "+" "cg00686339" "chr16:698826-700244" "Island" "WDR90" "NM_145294" "Body" "16:697796-700214" "Promoter_Associated" -1.44258194147625 -10.1166542221895 -3.53645148847062 0.000431577098363549 0.041297144086897 -0.178430895064295
"cg20797740" "chr17" 45727226 "-" "cg20797740" "chr17:45726673-45728222" "Island" "KPNB1" "NM_002265" "TSS200" "17:45726605-45728301" "Promoter_Associated" -1.42115374214763 -12.1131343216688 -3.53602983178693 0.000432254640144161 0.0413463070749914 -0.179814791772084
"cg15340270" "chr11" 62420901 "+" "cg15340270" "chr11:62420544-62420924" "Island" "INTS5" "NM_030628" "TSS200" "11:62419790-62421140" "Promoter_Associated" 0.567385070842961 -4.39316014135175 3.53046047967736 0.000441297673476516 0.0416484019475993 -0.198078737898542
"cg10864145" "chr5" 43397232 "-" "cg10864145" "chr5:43396897-43397364" "Island" "CCL28" "NM_148672" "Body" "5:43396732-43397838" "Unclassified_Cell_type_specific" 0.525677403943631 -5.72485909253652 3.52776735954312 0.000445733724364487 0.0417024423352032 -0.206900511374134
"cg20146541" "chr1" 248020697 "-" "cg20146541" "chr1:248020330-248021252" "Island" "TRIM58" "NM_015431" "1stExon" "" "" 0.603533007288454 -6.66217737198726 3.52775991156588 0.00044574605014446 0.0417024423352032 -0.206924899492993
"cg13924176" "chr1" 244997166 "+" "cg13924176" "chr1:244998023-244999142" "N_Shore" "FAM36A" "NM_198076" "TSS1500" "1:244997038-244997396" "Promoter_Associated_Cell_type_specific" 1.42488220968821 -5.65899939137442 3.52243395695701 0.00045464214489405 0.0419699446311893 -0.2243518266867
"cg01578996" "chr19" 57752011 "-" "cg01578996" "chr19:57751888-57752286" "Island" "ZNF805;ZNF805" "NM_001023563;NM_001145078" "TSS200;TSS200" "19:57751520-57752751" "Promoter_Associated" -1.40803253591615 -10.1424689324975 -3.51933715794594 0.000459890872709039 0.0421780096187036 -0.234473116528143
"cg03333546" "chr19" 13263065 "-" "cg03333546" "chr19:13260562-13264924" "Island" "IER2" "NM_004907" "5'UTR" "" "" 0.756635813964164 -6.20998116807624 3.51631405237743 0.000465069305360194 0.0423037454440846 -0.244345274153665
"cg21054968" "chr7" 155089542 "-" "cg21054968" "chr7:155088705-155090212" "Island" "INSIG1;INSIG1;INSIG1;INSIG1;INSIG1;INSIG1" "NM_198336;NM_198337;NM_005542;NM_198337;NM_005542;NM_198336" "5'UTR;1stExon;1stExon;5'UTR;5'UTR;1stExon" "7:155088257-155089770" "Promoter_Associated" -1.39689038033402 -10.4601139491396 -3.49729418207123 0.000498920476234785 0.043297391167174 -0.306268290226738
"cg21269806" "chr15" 41836470 "+" "cg21269806" "chr15:41836145-41836612" "Island" "RPAP1" "NM_015540" "TSS200" "15:41835968-41836718" "Promoter_Associated" -1.25989437794798 -7.76654723062496 -3.49253544213931 0.00050774291933468 0.0435481598744745 -0.321710660364192
"cg20021244" "chr5" 139944115 "+" "cg20021244" "chr5:139943835-139944477" "Island" "APBB3;APBB3;APBB3;SLC35A4;APBB3;APBB3;APBB3;APBB3;APBB3" "NM_133172;NM_133173;NM_133173;NM_080670;NM_133174;NM_006051;NM_133174;NM_006051;NM_133172" "1stExon;5'UTR;1stExon;TSS1500;1stExon;1stExon;5'UTR;5'UTR;5'UTR" "5:139943273-139945078" "Promoter_Associated" 0.581269729808244 -5.36128414231244 3.48606596407607 0.000519970873912377 0.0439196446731355 -0.342671933997249
"cg26238031" "chr19" 11999148 "-" "cg26238031" "chr19:11998804-11999131" "S_Shore" "ZNF69" "NM_021915" "Body" "" "" -1.60974186077027 -10.871244531881 -3.48410402132932 0.000523733148324975 0.043936045112254 -0.349021268505753
"cg26078244" "chr5" 1112110 "-" "cg26078244" "chr5:1111396-1112388" "Island" "SLC12A7;SLC12A7" "NM_006598;NM_006598" "1stExon;5'UTR" "" "" 0.604458549366331 -6.54106447144816 3.48066954462324 0.000530380464611438 0.0441273351493676 -0.360127785789144
"cg21461387" "chr6" 33217271 "+" "cg21461387" "chr6:33216103-33217463" "Island" "" "" "" "6:33215783-33217632" "Promoter_Associated" -1.53583245114761 -10.2901400569761 -3.47830939063526 0.000534994046792816 0.044262185730439 -0.367753997485045
"cg07064197" "chr19" 32715640 "-" "cg07064197" "chr19:32715384-32715800" "Island" "" "" "" "19:32715257-32716622" "Unclassified" 0.61287884744462 -5.89208998346236 3.47565726853803 0.000540223062277044 0.0445171523592749 -0.376317670339931
"cg09166022" "chr6" 33393775 "-" "cg09166022" "chr6:33393592-33393908" "Island" "SYNGAP1" "NM_006772" "Body" "6:33393379-33394217" "Promoter_Associated" -1.15557640137637 -7.20393672234806 -3.47359110851506 0.000544329800174569 0.0447044200387968 -0.382984909662208
"cg13024590" "chr6" 31782922 "+" "cg13024590" "chr6:31782872-31785190" "Island" "HSPA1A;HSPA1L" "NM_005345;NM_005527" "TSS1500;TSS200" "6:31782300-31783557" "Promoter_Associated" 1.10066936404876 -6.74030458860951 3.46114952172192 0.000569681515063105 0.045579668349383 -0.423051452719426
"cg09695735" "chr17" 58498977 "-" "cg09695735" "chr17:58498711-58499332" "Island" "C17orf64" "NM_181707" "TSS1500" "17:58498418-58499645" "Promoter_Associated" 0.551914899946311 -5.53726183514447 3.45278495643655 0.00058734047888164 0.0461685719287548 -0.44991045001509
"cg14331002" "chr19" 11201349 "+" "cg14331002" "chr19:11200919-11201686" "Island" "LDLR" "NM_000527" "Body" "19:11200700-11201839" "Promoter_Associated" -1.23225491839483 -8.86482367335632 -3.42994191850962 0.000638201700002853 0.047817002706561 -0.522940759894536
"cg12146178" "chr18" 51795762 "+" "cg12146178" "chr18:51795711-51796332" "Island" "POLI" "NM_007195" "TSS200" "18:51795576-51797200" "Promoter_Associated" -0.685135042296375 -7.1229784974854 -3.42453237851715 0.000650833264677513 0.0482256674616223 -0.54016675437565
"cg23245297" "chr19" 3275842 "-" "cg23245297" "chr19:3275608-3275970" "Island" "BRUNOL5" "NM_021938" "Body" "19:3275431-3276048" "Unclassified" 0.886806731913896 -6.43070401479237 3.42408870307357 0.000651879542168228 0.048257138886044 -0.541578417130481
"cg00405152" "chr19" 47217237 "-" "cg00405152" "chr19:47217161-47217555" "Island" "PRKD2;PRKD2;PRKD2;PRKD2;PRKD2" "NM_001079880;NM_001079882;NM_016457;NM_001079881;NM_001079882" "Body;5'UTR;Body;Body;1stExon" "19:47216698-47218193" "Promoter_Associated" 0.511500304710072 -4.19976194364085 3.41490848952727 0.000673883272207796 0.048941643790302 -0.570747872881143
"cg25684844" "chr2" 239335822 "-" "cg25684844" "chr2:239335160-239336263" "Island" "ASB1" "NM_001040445" "Body" "" "" -1.40190947957491 -11.338247441669 -3.41273660693007 0.000679189233775171 0.0490721524292329 -0.57763780270164
"cg00778059" "chr13" 24734742 "-" "cg00778059" "chr13:24734771-24735538" "N_Shore" "SPATA13;SPATA13" "NM_001166271;NM_153023" "TSS200;TSS200" "13:24734470-24736039" "Promoter_Associated" -1.65819610435805 -7.9808555685803 -3.41189762827166 0.000681249279374629 0.0490979401063016 -0.58029818635271
